BusinessName,BusinessType,AddressLine1,PostCode,lon,lat,RatingValue,FHRSID
1 Hotel Mayfair,Restaurant/Cafe/Canteen,3 BERKELEY STREET,W1J 8DJ,-0.1422003,51.5076479,5,1688813
1 Leicester Square Rooftop Bar and Restaurant,Restaurant/Cafe/Canteen,1-4 LEICESTER SQUARE,WC2H 7NA,-0.1306709,51.510837,5,1898862
1 REBEL,Restaurant/Cafe/Canteen,1 REBEL,NW1 1NA,-0.1314354,51.528421,5,1824267
1 Warwick,Restaurant/Cafe/Canteen,1 WARWICK STREET,W1B 5LR,-0.1372907,51.5107175,5,1559410
100 Club,Restaurant/Cafe/Canteen,BASEMENT CENTURY HOUSE 100-102 OXFORD STREET,W1D 1LL,-0.1353078,51.5162165,5,427714
113 KTV & KOREAN KITCHEN,Restaurant/Cafe/Canteen,,NW1 3EE,-0.1389819,51.5279114,5,1784230
12 Hay Hill,Restaurant/Cafe/Canteen,12 HAY HILL,W1J 8NR,-0.1437663,51.5090884,5,1317137
180 Pizza,Restaurant/Cafe/Canteen,180 STRAND,WC2R 1EA,-0.1150843,51.5124221,5,1411839
2 Veneti,Restaurant/Cafe/Canteen,8-10 WIGMORE STREET,W1U 2RD,-0.146726,51.5168561,5,411269
20 Air cafe,Other catering premises,20 AIR STREET,W1B 5AN,-0.136698,51.5107621,5,1791323
21 Soho,Restaurant/Cafe/Canteen,3-5 SUTTON ROW,W1D 4NR,-0.1313476,51.5156476,5,1361455
250 Euston Road - Medirest,Restaurant/Cafe/Canteen,,NW1 2PG,-0.1373839,51.5257368,5,1850328
26 Grains,Restaurant/Cafe/Canteen,,WC2H 9DP,-0.1262892,51.5143642,5,779024
27 Old Compton Street Pasta Bar,Restaurant/Cafe/Canteen,27 OLD COMPTON STREET,W1D 5JP,-0.1314017,51.5130519,5,1720965
28-50 Wine Workshop and Kitchen,Restaurant/Cafe/Canteen,15-17 MARYLEBONE LANE,W1U 2NE,-0.1504508,51.5163484,5,641285
31 Below,Restaurant/Cafe/Canteen,31 MARYLEBONE HIGH STREET,W1U 4PP,-0.1515499,51.5201696,5,1728411
34,Restaurant/Cafe/Canteen,34 GROSVENOR SQUARE,W1K 2HD,-0.1525879,51.5105548,5,1039247
40 Duke,Restaurant/Cafe/Canteen,40 DUKE STREET,W1U 1AT,-0.1521636,51.5151382,5,1916453
40 Greek Street,Restaurant/Cafe/Canteen,40 GREEK STREET,W1D 4EB,-0.1304571,51.5132437,5,413795
42 Holborn,Restaurant/Cafe/Canteen,,WC2B 6EY,-0.1189995,51.5160371,5,1670140
