AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode,scores,lon,lat
3 BERKELEY STREET,,LONDON,,1 Hotel Mayfair,Restaurant/Cafe/Canteen,1,0,0.4728520763396006,1688813,GL6QH0-M4M5Q6-S02TKX,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 8DJ,2026-01-21T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1422003', 'latitude': '51.5076479'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1422003,51.5076479
1-4 LEICESTER SQUARE,,LONDON,,1 Leicester Square Rooftop Bar and Restaurant,Restaurant/Cafe/Canteen,1,0,0.3109445235379461,1898862,HQ202C-1TV3G5-ZN9YQ3,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7NA,2026-01-09T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1306709', 'latitude': '51.510837'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1306709,51.510837
1 REBEL,Lancing Street,,London,1 REBEL,Restaurant/Cafe/Canteen,1,0,1.053670785446229,1824267,205889,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 1NA,2026-03-18T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1314354', 'latitude': '51.528421'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1314354,51.528421
1 WARWICK STREET,,LONDON,,1 Warwick,Restaurant/Cafe/Canteen,1,0,0.1952503329186729,1559410,22/00661/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5LR,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1372907', 'latitude': '51.5107175'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1372907,51.5107175
BASEMENT CENTURY HOUSE 100-102 OXFORD STREET,,LONDON,,100 Club,Restaurant/Cafe/Canteen,1,0,0.1945523684644075,427714,00159/0100/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 1LL,2024-05-07T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1353078', 'latitude': '51.5162165'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1353078,51.5162165
,111-113 Hampstead Road,,London,113 KTV & KOREAN KITCHEN,Restaurant/Cafe/Canteen,1,0,1.0014189717712534,1784230,205231,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 3EE,2025-06-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1389819', 'latitude': '51.5279114'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1389819,51.5279114
12 HAY HILL,,LONDON,,12 Hay Hill,Restaurant/Cafe/Canteen,1,0,0.4365200769884157,1317137,18/00075/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 8NR,2025-10-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1437663', 'latitude': '51.5090884'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1437663,51.5090884
180 STRAND,,LONDON,,180 Pizza,Restaurant/Cafe/Canteen,1,0,0.923870900517584,1411839,01576/0180/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2R 1EA,2022-06-16T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1150843', 'latitude': '51.5124221'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1150843,51.5124221
5 ALLINGTON STREET,,LONDON,,1Rebel,Retailers - other,4613,0,1.1592001757109989,1104418,19/00047/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,SW1E 5BX,2025-01-21T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1429411', 'latitude': '51.497209'}","{'Hygiene': None, 'Structural': None, 'ConfidenceInManagement': None}",-0.1429411,51.497209
8-10 WIGMORE STREET,,LONDON,,2 Veneti,Restaurant/Cafe/Canteen,1,0,0.4970829836295959,411269,00283/0008/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 2RD,2026-05-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.146726', 'latitude': '51.5168561'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.146726,51.5168561
20 AIR STREET,,LONDON,,20 Air cafe,Other catering premises,7841,0,0.1893771151956127,1791323,HRL6LV-Z132RA-P1K6LN,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5AN,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.136698', 'latitude': '51.5107621'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.136698,51.5107621
3-5 SUTTON ROW,,LONDON,,21 Soho,Restaurant/Cafe/Canteen,1,0,0.2666360843015647,1361455,21/00242/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4NR,2024-09-27T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1313476', 'latitude': '51.5156476'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1313476,51.5156476
,250 Euston Road,,London,250 Euston Road - Medirest,Restaurant/Cafe/Canteen,1,0,0.8463211989801875,1850328,206367,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 2PG,2025-11-06T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1373839', 'latitude': '51.5257368'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1373839,51.5257368
,1 Neal's Yard,,London,26 Grains,Restaurant/Cafe/Canteen,1,0,0.4430889898038312,779024,83750,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2H 9DP,2026-07-14T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1262892', 'latitude': '51.5143642'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1262892,51.5143642
27 OLD COMPTON STREET,,LONDON,,27 Old Compton Street Pasta Bar,Restaurant/Cafe/Canteen,1,0,0.2214000889851424,1720965,PNHTWX-WQRBW2-CPXCNA,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 5JP,2025-07-01T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1314017', 'latitude': '51.5130519'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1314017,51.5130519
15-17 MARYLEBONE LANE,,LONDON,,28-50 Wine Workshop and Kitchen,Restaurant/Cafe/Canteen,1,0,0.6313060943858614,641285,00513/0015/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 2NE,2025-04-24T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1504508', 'latitude': '51.5163484'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1504508,51.5163484
