AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode,scores,lon,lat
Unit 035 Turbine Hall Battersea Power Station Circus Road South,,London,Wandsworth,% Arabica,Restaurant/Cafe/Canteen,1,0,2.2436528712358594,1782317,PI/000489700,532,foodandsafety@merton.gov.uk,Wandsworth,http://www.wandsworth.gov.uk,False,,SW11 8BU,2025-01-22T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.145443', 'latitude': '51.4815083'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.145443,51.4815083
Queens Gate School,131-133 Queen's Gate,LONDON,,(Thomas Frank Limited) Queens Gate School,School/college/university,7845,0,2.2187572468106667,1596746,INSPF/23/319589,520,food.hygiene@rbkc.gov.uk,Kensington and Chelsea,http://www.rbkc.gov.uk,False,,SW7 5LF,2025-06-04T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.178374', 'latitude': '51.494743'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.178374,51.494743
,BASEMENT AND GROUND FLOOR 46 GREAT EASTERN STREET,Hackney,London,081 Pizzeria Napoletana,Restaurant/Cafe/Canteen,1,0,2.5193959335357192,1864856,d9e0f1g2,512,technicalbusinesssupport@hackney.gov.uk,Hackney,https://hackney.gov.uk/environmental-health#food,False,,EC2A 3EP,2025-10-06T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.0808221', 'latitude': '51.5248699'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.0808221,51.5248699
3 BERKELEY STREET,,LONDON,,1 Hotel Mayfair,Restaurant/Cafe/Canteen,1,0,0.47285207633960064,1688813,GL6QH0-M4M5Q6-S02TKX,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 8DJ,2026-01-21T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1422003', 'latitude': '51.5076479'}","{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",-0.1422003,51.5076479
1-4 LEICESTER SQUARE,,LONDON,,1 Leicester Square Rooftop Bar and Restaurant,Restaurant/Cafe/Canteen,1,0,0.31094452353794616,1898862,HQ202C-1TV3G5-ZN9YQ3,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7NA,2026-01-09T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1306709', 'latitude': '51.510837'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1306709,51.510837
,7,Upper Ground,London,1 rebel,Retailers - other,4613,0,1.3238647980429248,1128320,193885,528,food@southwark.gov.uk,Southwark,http://www.southwark.gov.uk/,False,,SE1 9LP,2019-03-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1071863', 'latitude': '51.5076451'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1071863,51.5076451
1 REBEL,Lancing Street,,London,1 REBEL,Restaurant/Cafe/Canteen,1,0,1.053670785446229,1824267,205889,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 1NA,2026-03-18T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1314354', 'latitude': '51.528421'}","{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",-0.1314354,51.528421
1 Rebel Gym,part Ground to Fifth Floor Angel Building,407 St John Street,London,1 Rebel Gym,Restaurant/Cafe/Canteen,1,0,1.7690519186403857,1318932,PI/000285402,519,Commercial.Envh@islington.gov.uk,Islington,http://www.islington.gov.uk,False,,EC1V 4AB,2025-06-04T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1068801', 'latitude': '51.5312737'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1068801,51.5312737
1 WARWICK STREET,,LONDON,,1 Warwick,Restaurant/Cafe/Canteen,1,0,0.19525033291867297,1559410,22/00661/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5LR,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1372907', 'latitude': '51.5107175'}","{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",-0.1372907,51.5107175
BASEMENT CENTURY HOUSE 100-102 OXFORD STREET,,LONDON,,100 Club,Restaurant/Cafe/Canteen,1,0,0.19455236846440757,427714,00159/0100/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 1LL,2024-05-07T00:00:00,fhrs_5_en-gb,5,,FHRS,"{'longitude': '-0.1353078', 'latitude': '51.5162165'}","{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 0}",-0.1353078,51.5162165
