"count_point_id","year","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles","estimation_method","estimation_method_detailed","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
6119,2000,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",2135,2307,23752,1696,2491,345,19,4,5,2,1,376,30622
6119,2001,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",2212,2600,22208,1688,2483,318,21,4,5,2,1,351,29330
6119,2002,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",2110,2447,19809,1951,2247,327,23,4,4,2,1,361,26815
6119,2003,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Counted","Manual count",3028,3600,18937,1645,2961,597,42,17,5,4,0,665,27808
6119,2004,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Counted","Manual count",1060,1689,18434,2128,2336,314,28,1,4,2,0,349,24936
6119,2005,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",1194,1599,18489,2113,2608,346,30,1,3,1,0,381,25190
6119,2006,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",1362,1794,19028,2370,3294,318,26,1,3,1,0,349,26835
6119,2007,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Counted","Manual count",1810,1773,17508,2191,3908,503,83,50,2,9,9,656,26036
6119,2008,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",1772,1654,16877,2327,3658,493,93,52,2,9,9,658,25174
6119,2009,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",1801,1544,16354,2430,3423,455,93,50,2,7,8,615,24366
6119,2010,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",1960,1450,15864,2590,3296,478,93,43,2,7,8,631,23831
6119,2011,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",1945,1439,15737,2662,3270,476,100,49,2,7,8,642,23750
6119,2012,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Counted","Manual count",3815,1329,20157,2490,3386,623,43,15,6,0,1,688,28051
6119,2013,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",3150,1274,19395,2421,3532,661,49,18,6,0,1,735,27358
6119,2014,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",3160,1298,20057,2346,3680,656,52,19,6,0,1,735,28115
6119,2015,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",2981,1349,21214,2200,3533,611,53,18,7,0,1,691,28986
6119,2016,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Estimated","Estimated using AADF from previous year on this link",3084,1447,20775,2326,3644,601,49,25,7,0,2,684,28878
6119,2017,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2,"Counted","Manual count",2302,1115,17467,1886,2913,324,66,51,18,0,0,459,23840
