"count_point_id","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles"
6119,6,"London",109,"Westminster","A4","Major","Aldwych","LA Boundary",531060,181090,51.51354319,-0.11266010,0.3,0.2
6120,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6
6152,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4
6426,6,"London",109,"Westminster","A40","Major","Orchard St","Regent St",528500,181100,51.51422052,-0.14952830,0.8,0.5
6459,6,"London",109,"Westminster","A41","Major","York St","Portman Sq (north)",528000,181700,51.51972609,-0.15651218,0.5,0.3
6896,6,"London",109,"Westminster","A315","Major","LA Boundary","A4/A3216",527000,179700,51.50197747,-0.17163756,1.7,1.1
7603,6,"London",109,"Westminster","A3212","Major","A3203","Parliament Square",530203,179258,51.49727725,-0.12567945,0.7,0.4
7672,6,"London",109,"Westminster","A4201","Major","A5204","A501",528800,181700,51.51954442,-0.14498813,0.8,0.5
7934,6,"London",109,"Westminster","A3214","Major","B302","A3213",528600,178600,51.49173040,-0.14899903,0.9,0.6
8083,6,"London",109,"Westminster","A41","Major","A41","A5205",527410,182550,51.52749831,-0.16470398,0.7,0.4
8448,6,"London",109,"Westminster","A4","Major","Pall Mall","Piccadilly Circus",529610,180500,51.50857509,-0.13376120,0.3,0.2
16108,6,"London",109,"Westminster","A4","Major","Northumberland Ave","A301",530400,180700,51.51019089,-0.12231019,0.7,0.4
16142,6,"London",109,"Westminster","A302","Major","A3217","A4",528600,179500,51.49981867,-0.14867121,0.6,0.4
16435,6,"London",109,"Westminster","A4380","Major","A501","A41 Park Rd",527750,182000,51.52247873,-0.16000475,0.5,0.3
17015,6,"London",109,"Westminster","A404","Major","LA Boundary","A4207",524000,182440,51.52726805,-0.21387384,1.1,0.7
17567,6,"London",109,"Westminster","A3203","Major","A3212","LA Boundary",530350,178960,51.49456533,-0.12367301,0.2,0.1
17572,6,"London",109,"Westminster","A3212","Major","A3216","A202",529800,178030,51.48633396,-0.13193307,1.6,1
17574,6,"London",109,"Westminster","A3217","Major","A302","A3214",528900,179330,51.49822262,-0.14441367,0.2,0.1
17638,6,"London",109,"Westminster","A4201","Major","Piccadilly Circus","A40",529100,181000,51.51318518,-0.14092294,0.9,0.6
17639,6,"London",109,"Westminster","A4202","Major","A4 Hyde Park Corner","Marble Arch",528089,180542,51.50929902,-0.15565075,1.4,0.9
17641,6,"London",109,"Westminster","A501","Major","A5/A4209","Marylebone Rd",527370,181750,51.52031771,-0.16556940,0.3,0.2
17691,6,"London",109,"Westminster","A401","Major","Piccadilly Circus","A400",529761,180893,51.51207231,-0.13144200,0.5,0.3
17917,6,"London",109,"Westminster","A3214","Major","A3217","Buckingham Gate",528970,179400,51.49883576,-0.14338021,0.3,0.2
18169,6,"London",109,"Westminster","A5204","Major","A5","A41",528000,181174,51.51499894,-0.15670314,0.4,0.2
18454,6,"London",109,"Westminster","A501","Major","A501","A4201",528800,182200,51.52403788,-0.14480543,0.2,0.1
18478,6,"London",109,"Westminster","A5","Major","B414","A5205",526000,182930,51.53122946,-0.18488306,1.3,0.8
18664,6,"London",109,"Westminster","A3214","Major","Horse Guards Road","Parliament Sq",530000,179686,51.50117030,-0.12844457,0.3,0.2
18738,6,"London",109,"Westminster","A3213","Major","Hobart Place","A3214",528600,178960,51.49496570,-0.14886795,0.4,0.2
26114,6,"London",109,"Westminster","A4","Major","St James St","Regent Street/ Picc Circus",529395,180534,51.50892987,-0.13684504,0.5,0.3
26146,6,"London",109,"Westminster","A5","Major","Praed St","A501/A4209",527180,181580,51.51883269,-0.16836775,0.2,0.1
26429,6,"London",109,"Westminster","A501","Major","Old Marylebone Rd","A41 Gloucester Place",527600,181860,51.52125442,-0.16221634,0.4,0.2
26432,6,"London",109,"Westminster","A402","Major","Westbourne Street","Marble Arch",527000,180830,51.51213285,-0.17123077,1.1,0.7
26464,6,"London",109,"Westminster","A41","Major","Gloucester Place","Marylebone Rd",527910,182000,51.52244255,-0.15769979,0.5,0.3
26465,6,"London",109,"Westminster","A4380","Major","A40","A5204",528030,181100,51.51432712,-0.15629790,0.2,0.1
27236,6,"London",109,"Westminster","A501","Major","Baker St","Park Crescent (mid-junction)",528000,182004,51.52245813,-0.15640180,0.8,0.5
27663,6,"London",109,"Westminster","A3212","Major","A302","Northumberland Ave",530150,180000,51.50395768,-0.12616890,0.8,0.5
27667,6,"London",109,"Westminster","A3217","Major","LA Boundary","Ecclestone St",528340,179000,51.49538421,-0.15259670,0.5,0.3
27735,6,"London",109,"Westminster","A4206","Major","A4205","A40",526400,181500,51.51828862,-0.17963236,0.3,0.2
27787,6,"London",109,"Westminster","A5205","Major","A41","LA Boundary",528000,183640,51.53716081,-0.15580745,1.5,0.9
28121,6,"London",109,"Westminster","A5204","Major","A4201","LA Boundary",529182,181535,51.51797444,-0.13954590,0.4,0.2
28477,6,"London",109,"Westminster","A4","Major","Piccadilly Circus","Pall Mall East",529730,180540,51.50890706,-0.13201832,0.4,0.2
28513,6,"London",109,"Westminster","A202","Major","Wilton Rd/Vauxhall Bridge Rd","Bressenden Place",529060,179150,51.49656850,-0.14217576,0.1,0.1
28514,6,"London",109,"Westminster","A5204","Major","A41","A41",528114,181216,51.51535058,-0.15504586,0.2,0.1
36071,6,"London",109,"Westminster","A40","Major","LA Boundary",,525432,181677,51.52009490,-0.19351338,2,1.2
36150,6,"London",109,"Westminster","A5","Major","A5204","Marble Arch",527700,181040,51.51386251,-0.16107277,0.2,0.1
36435,6,"London",109,"Westminster","A40","Major","A41","A41",528150,181050,51.51385059,-0.15458765,0.2,0.1
36436,6,"London",109,"Westminster","A402","Major","LA Boundary","Westbourne St/Lancaster Terrace",525962,180603,51.51032491,-0.18626211,1.3,0.8
36471,6,"London",109,"Westminster","A41","Major","A40","A5204",528200,181100,51.51428860,-0.15384931,0.2,0.1
36796,6,"London",109,"Westminster","A202","Major","Victoria St/Wilton Rd","Wilton Rd",529080,179000,51.49521590,-0.14194266,0.2,0.1
37704,6,"London",109,"Westminster","A3212","Major","A202","A3203",530200,178600,51.49136460,-0.12596525,0.8,0.5
37706,6,"London",109,"Westminster","A202","Major","Buckingham Palace Rd","Victoria St",529050,179270,51.49764922,-0.14227587,0.2,0.1
37774,6,"London",109,"Westminster","A4201","Major","A40","A5204",528970,181400,51.51680960,-0.14264903,0.2,0.1
37775,6,"London",109,"Westminster","A4205","Major","A4206","Edgware Rd",527000,181500,51.51815418,-0.17098947,1.1,0.7
37776,6,"London",109,"Westminster","A4206","Major","A4207","A4205",526000,181300,51.51658047,-0.18546580,1.1,0.7
37914,6,"London",109,"Westminster","A400","Major","A401","Andrew Borde St",529864,181203,51.51483459,-0.12984439,0.3,0.2
38167,6,"London",109,"Westminster","A41","Major","A5205","LA Boundary",526997,182978,51.53143769,-0.17050009,1.2,0.7
38177,6,"London",109,"Westminster","A4","Major","Piccadilly","Waterloo Pl",529470,180208,51.50598298,-0.13588456,0.8,0.5
38534,6,"London",109,"Westminster","A4","Major","Pall Mall","Northumberland ave",529930,180400,51.50760299,-0.12918958,0.3,0.2
38630,6,"London",109,"Westminster","A41","Major","Prince Albert Rd","St Johns Wood Road",527143,182845,51.53020959,-0.16844439,0.1,0.1
38631,6,"London",109,"Westminster","A4","Major","A301","A301/A4200",530668,181000,51.51282508,-0.11833936,0.3,0.2
39028,6,"London",109,"Westminster","A202","Major","A3213","A3212",529881,178358,51.48926307,-0.13064655,0.2,0.1
46119,6,"London",109,"Westminster","A4","Major","Haymarket","St Martins Pl",530018,180495,51.50843652,-0.12788727,0.3,0.2
46120,6,"London",109,"Westminster","A4","Major","A315/A3216","Hyde Park Corner",528000,179760,51.50229134,-0.15721622,0.7,0.4
46155,6,"London",109,"Westminster","A5","Major","A5205","A501",526780,182004,51.52273303,-0.17397726,0.9,0.6
46433,6,"London",109,"Westminster","A40","Major","A4201","LA Boundary",529500,181330,51.51605939,-0.13504059,0.7,0.4
46469,6,"London",109,"Westminster","A4380","Major","Portman Sq (north)","York St",527850,181700,51.51976003,-0.15867296,0.5,0.3
47088,6,"London",109,"Westminster","A404","Major","A4207","A40",525000,182070,51.52372254,-0.19959722,2.1,1.3
47661,6,"London",109,"Westminster","A3211","Major","A302","A400",530340,180000,51.50391394,-0.12343292,0.6,0.4
47665,6,"London",109,"Westminster","A3217","Major","Eccleston St","Grosvenor Place",528600,179260,51.49766180,-0.14875866,0.3,0.2
47729,6,"London",109,"Westminster","A4207","Major","A404","A4206",525000,181660,51.52003779,-0.19974262,1.3,0.8
47730,6,"London",109,"Westminster","A4209","Major","Bayswater Rd","A5/A501",527000,181280,51.51617703,-0.17106871,1.1,0.7
47788,6,"London",109,"Westminster","A5205","Major","A5","A41",527001,182750,51.52938775,-0.17052464,0.8,0.5
47874,6,"London",109,"Westminster","A400","Major","Trafalgar Sq","A401",530000,180670,51.51001336,-0.12808200,0.6,0.4
48009,6,"London",109,"Westminster","A3214","Major","Grosvenor Gardens / Victoria Street","Lower Grosvenor Place / Bressender Place",528900,179200,51.49705432,-0.14446114,0.2,0.1
48010,6,"London",109,"Westminster","A5204","Major","A41","A4201",528500,181330,51.51628751,-0.14944449,1,0.6
48251,6,"London",109,"Westminster","A501","Major","A5","Old Marylebone Rd",527270,181770,51.52051997,-0.16700272,0.4,0.2
48517,6,"London",109,"Westminster","A4","Major","Northumberland Ave","St Martins Pl",530070,180460,51.50811003,-0.12715131,0.1,0.1
