collision_index,longitude,latitude,collision_severity,collision_year
2022070499513,-2.716039,53.331043,3,2022
2024070891801,-2.56902,53.3726,3,2024
2022041191384,-3.055421,53.81138,2,2022
2023161274208,-0.358572,53.781812,2,2023
2024161520154,-0.34792,53.74656,3,2024
2023161281524,-0.110588,53.562689,3,2023
2023302300261,-1.477522,52.915775,3,2023
2022311248523,-1.182653,52.987234,3,2022
2024311418831,-1.17166,52.95577,2,2024
2022522200878,-2.618186,51.454647,3,2022
2023522300461,-2.540232,51.476028,3,2023
20225222NS589,-2.630991,51.437692,3,2022
2022461144249,0.500159,51.392601,3,2022
2023440043793,-1.329239,50.739093,3,2023
2022501251773,-4.196259,50.375922,3,2022
2024501405018,-4.76131,50.33887,3,2024
2022401133424,-0.468773,52.140113,3,2022
2022552201153,-1.849949,50.732966,3,2022
2022552201271,-1.843725,50.733884,3,2022
2024552401508,-2.01474,50.77677,3,2024
2024031414518,-3.57957,54.5261,2,2024
2024031464090,-3.56166,54.61582,3,2024
2024031527402,-2.92282,54.87552,3,2024
2023122301193,-1.500253,53.998285,3,2023
2023061372930,-2.354429,53.475378,3,2023
2022061171517,-2.646463,53.499107,2,2022
2022052200833,-2.977728,53.436891,2,2022
2024141536520,-1.33928,53.46696,2,2024
2022141244099,-1.473251,53.374458,3,2022
2024141400787,-1.49354,53.42058,3,2024
2023101340968,-1.433394,54.884398,3,2023
2022201264528,-1.919568,52.484899,3,2022
2023201415520,-1.90339,52.482487,3,2023
2024201411266,-1.92625,52.4077,3,2024
2024201508218,-1.87577,52.4966,2,2024
2023201385524,-1.519369,52.389951,3,2023
2024201398249,-1.50506,52.43289,3,2024
2024201445832,-2.07902,52.55267,2,2024
2024131502267,-1.77269,53.8458,3,2024
2023131388381,-1.859309,53.728149,3,2023
2022131233187,-1.817492,53.63343,3,2022
2023131262730,-1.600251,53.795362,3,2023
2022131189004,-1.315759,53.723412,3,2022
2023481355197,-0.10471,51.511256,3,2023
2023010422173,0.127581,51.462425,3,2023
2022010361971,-0.133947,51.545906,3,2022
2022010374444,-0.163135,51.543471,3,2022
2022010377313,-0.139282,51.318612,2,2022
2022010375074,-0.305737,51.511518,3,2022
2023010453575,-0.278948,51.505382,3,2023
2024010488302,-0.28367,51.53756,2,2024
2022010372219,-0.076566,51.652385,3,2022
2024010503144,-0.08003,51.53101,3,2024
2023010435892,-0.211427,51.495028,3,2023
2022010401379,-0.104338,51.535144,2,2022
2023010455366,-0.112461,51.536399,3,2023
2024010536566,-0.10314,51.54551,3,2024
2022010394668,-0.197667,51.511526,3,2022
2023010449944,0.124001,51.569424,2,2023
2023010435921,-0.346811,51.407892,3,2023
2023010462406,-0.098063,51.491941,2,2023
2024010551696,-0.10439,51.50814,3,2024
2024010488305,-0.21444,51.3611,2,2024
2022010372041,-0.210688,51.463139,3,2022
2022010393090,-0.194126,51.457103,2,2022
2022010403775,-0.195094,51.4413,3,2022
2023010437635,-0.156255,51.443159,3,2023
2024010545723,-0.16376,51.43264,3,2024
2022010383001,-0.16606,51.533112,3,2022
2023501371355,-3.684874,50.43342,3,2023
2023421301754,0.574617,51.527762,2,2023
2023411293855,-0.455065,51.732275,3,2023
2023461382544,0.521188,51.277176,3,2023
2022041177213,-2.795071,54.034342,3,2022
2023041289730,-2.214004,53.83541,3,2023
2024041478897,-2.71673,53.64721,3,2024
2022320138260,-0.518678,53.250457,3,2022
2023320785441,-0.024917,52.974357,2,2023
2022311232985,-1.287569,52.987162,3,2022
2022211215965,-2.012241,52.70451,2,2022
2023451311529,-0.493998,51.384841,2,2023
2023451331014,-0.412937,51.32853,3,2023
2023451331223,-0.519801,51.381923,3,2023
2023471266131,-0.184925,51.102501,3,2023
2023471269978,-0.671743,50.888948,2,2023
2024471502796,-0.19896,50.94523,2,2024
2023221264916,-2.309534,52.270537,1,2023
2024221526374,-2.2173,52.19021,2,2024
2024991474974,-3.18731,55.0437,2,2024
2024991426529,-4.77348,55.94587,3,2024
2022991210226,-2.02085,57.310814,2,2022
2024991493517,-3.15255,55.95509,3,2024
2022991210904,-4.258866,55.845587,2,2022
2024631417479,-4.16007,51.67437,3,2024
2023622300914,-3.782354,51.59467,3,2023
2024622400224,-3.45423,51.63305,2,2024
2022610008022,-3.13931,51.664501,2,2022
2022610029822,-2.973425,51.584962,2,2022
2024610045324,-2.98961,51.59108,3,2024
2022041142470,-3.050065,53.796408,2,2022
2023041289011,-3.026987,53.803798,3,2023
2024311477516,-1.15369,52.97015,3,2024
2022221195782,-2.741584,52.228282,2,2022
2023522400692,-2.584207,51.458103,3,2023
2024401503754,-0.42855,51.88543,3,2024
2022440000095,-1.07769,50.815622,3,2022
2023440205405,-1.076549,50.796458,3,2023
2023111342084,-1.545016,54.78057,2,2023
2023221291585,-2.773795,52.705751,3,2023
2023546023223,-1.901867,51.543625,3,2023
202354A039923,-1.80957,51.070455,3,2023
2024401482550,-0.4729,52.09091,3,2024
2022552201426,-1.861955,50.726452,3,2022
2024552400295,-1.84154,50.7274,3,2024
2024340NN4162,-0.69992,52.2975,2,2024
2022122300046,-1.430934,54.341175,3,2022
2023122301349,-1.523529,54.137481,3,2023
2024061477016,-2.52452,53.58058,3,2024
2024061487209,-2.19595,53.55085,3,2024
2023061393164,-2.053307,53.400083,1,2023
2024052401774,-2.78474,53.42172,2,2024
2022052201787,-2.898519,53.44981,2,2022
2023052302387,-2.937022,53.434089,3,2023
2023141311892,-1.477795,53.38148,3,2023
2022201219285,-1.912643,52.494523,3,2022
2022201237245,-1.756323,52.484146,2,2022
2022201191080,-1.978987,52.60938,3,2022
2022201276863,-1.993209,52.606604,3,2022
2022131244510,-1.745081,53.794571,2,2022
2022131225260,-1.621491,53.820472,2,2022
2023131324004,-1.547127,53.798724,3,2023
2023131290240,-1.485918,53.682647,3,2023
2023010432567,0.146201,51.563723,3,2023
2024010490119,0.09077,51.53272,2,2024
2024010503328,-0.17741,51.63004,3,2024
2022010407311,-0.277969,51.541643,3,2022
2022010383396,-0.052625,51.414901,3,2022
2024010519832,0.03173,51.39919,3,2024
2024010540242,0.04566,51.42812,3,2024
2022010390424,-0.126736,51.516745,3,2022
2022010399551,-0.116921,51.520572,3,2022
2023010433533,-0.135449,51.541613,3,2023
2022010401663,-0.034678,51.376661,3,2022
2024010535221,-0.09358,51.394,3,2024
2022010366762,-0.109962,51.630779,2,2022
2022010383219,-0.042266,51.545167,3,2022
2022010389984,-0.380683,51.437302,3,2022
2023010466465,-0.356879,51.469955,3,2023
2024010531844,-0.12171,51.55591,3,2024
2024010536076,-0.10583,51.52013,3,2024
2022010383995,-0.201125,51.49836,3,2022
2024010536094,-0.29932,51.36393,3,2024
2022010401641,-0.121203,51.473609,2,2022
2024010488994,-0.12909,51.4311,3,2024
2022010409917,-0.059463,51.430707,3,2022
2024010487459,0.0115,51.45614,3,2024
2024010538628,-0.03392,51.45946,3,2024
2024010546244,-0.00245,51.42115,3,2024
2023010447388,0.015378,51.506592,2,2023
2023010435865,0.067962,51.557502,2,2023
2024010532852,-0.06806,51.48801,3,2024
2023010461267,-0.040179,51.522902,3,2023
2022010380163,-0.162619,51.472827,3,2022
2024010520531,-0.1643,51.43171,3,2024
2024351427985,0.04709,52.21534,3,2024
2022421171507,0.455584,51.55886,3,2022
2022531131782,-2.068823,51.905448,2,2022
2022440118729,-0.961519,50.985633,1,2022
2023440237333,-1.448407,50.962112,3,2023
2024440126250,-1.31829,51.06881,2,2024
2023411288626,-0.05523,51.706689,3,2023
2024411436979,-0.34763,51.7391,3,2024
2022461188790,0.393525,51.443006,3,2022
2023461269594,1.40105,51.353753,3,2023
2024461469653,0.2798,51.15081,3,2024
2023041362705,-2.193024,53.704311,3,2023
2023332300790,-1.202256,52.773424,3,2023
2023320405342,-0.668057,52.90981,2,2023
2023320538521,0.33335,53.138029,2,2023
2023361331557,0.402839,52.753649,2,2023
2023311392517,-1.267624,53.114743,3,2023
2022371216737,1.127109,52.066865,3,2022
2024371515901,0.85632,52.0052,3,2024
2023451329203,-0.180183,51.236584,3,2023
2024451425552,-0.47403,51.44201,2,2024
2022231204520,-1.26121,52.385194,2,2022
2023231328091,-1.525693,52.518184,3,2023
2024221523442,-2.24209,52.38522,3,2024
2022991177652,-4.319606,55.779961,2,2022
2022991138538,-3.091069,55.868254,3,2022
2022991136444,-3.94758,56.098322,2,2022
2024991518997,-3.2072,55.95337,2,2024
2024991467375,-4.42695,55.84248,2,2024
2022991241006,-2.659532,56.73367,3,2022
2024991481624,-3.41969,56.03835,2,2024
202260B184252,-3.049932,53.191378,3,2022
2024622400804,-3.23624,51.48184,3,2024
2023070355702,-2.71416,53.320996,3,2023
2023041330746,-3.047966,53.818169,2,2023
2023161387664,-0.417151,53.78482,3,2023
2024302400499,-1.47823,52.9162,2,2024
2024332400251,-1.13584,52.60655,3,2024
2024522402848,-2.6049,51.46094,3,2024
2023522401061,-2.563068,51.50873,3,2023
2023501392699,-4.162431,50.369378,3,2023
2023501332975,-3.560259,50.474596,3,2023
2024545340124,-1.80656,51.56476,3,2024
2023421374936,0.70551,51.540455,3,2023
2022430083354,-0.574075,51.505375,3,2022
2024471502654,-0.16784,50.8302,2,2024
2024440123549,-1.07926,50.8024,3,2024
2024440216913,-1.06602,50.84821,2,2024
2023070569129,-2.687342,53.266474,3,2023
2023549761023,-1.733967,51.125573,3,2023
2024552400998,-2.80023,50.82032,3,2024
202234NNC5472,-0.6859,52.437623,3,2022
2022340WNC182,-0.882229,52.232713,2,2022
2022340WNC422,-0.890944,52.243773,3,2022
2023340WN2492,-1.210767,52.11945,3,2023
2024340WN3232,-0.89419,52.23713,3,2024
2024031445649,-3.48417,54.70659,2,2024
2022122200220,-0.624354,54.490635,3,2022
2022061205981,-2.100886,53.530349,2,2022
2024061407373,-2.16941,53.54703,3,2024
2024061508643,-2.00666,53.53602,3,2024
2024061513302,-2.3588,53.48096,3,2024
2024061512409,-2.64807,53.50163,2,2024
2023052302891,-2.968645,53.398268,1,2023
2024052400550,-2.94241,53.42507,3,2024
2024141438872,-1.49973,53.55716,3,2024
2024141424734,-1.0733,53.55041,3,2024
2023141293352,-1.480043,53.390677,3,2023
2023141320010,-1.438885,53.405735,3,2023
2023141361196,-1.478374,53.425096,3,2023
2023141381525,-1.457461,53.391619,2,2023
2024141493640,-1.44732,53.40871,3,2024
2022101236967,-1.587092,54.975429,3,2022
2023101341784,-1.692529,54.973611,3,2023
2024101416038,-1.53232,54.98986,2,2024
2022201198479,-1.836863,52.470574,3,2022
2023201289324,-1.885477,52.542056,3,2023
2023201370357,-1.91185,52.470995,3,2023
2022201198736,-1.514278,52.410616,2,2022
2024201399723,-2.03324,52.47068,3,2024
2023201331427,-1.993292,52.537958,3,2023
2022201264710,-2.110302,52.598848,2,2022
2023131269264,-1.751874,53.695501,2,2023
2024131447960,-1.80208,53.72483,2,2024
2022131247686,-1.589505,53.816933,2,2022
2024131461961,-1.5796,53.80223,3,2024
2024101528014,-1.60779,54.95955,3,2024
2022010360765,0.124613,51.561805,2,2022
2022010406954,-0.225882,51.547925,3,2022
2022010407625,-0.306454,51.562506,3,2022
2024010533671,-0.26261,51.59652,3,2024
2022010379770,-0.137217,51.541057,3,2022
2022010393042,-0.113817,51.518247,3,2022
2022010414172,-0.15662,51.550158,2,2022
2022010418554,-0.100192,51.379675,3,2022
2022010387240,-0.165099,51.680203,3,2022
2023010474221,-0.038766,51.549092,3,2023
2024010527978,-0.0746,51.54625,3,2024
2023010427010,-0.066492,51.584695,3,2023
2023010446432,-0.095089,51.576018,3,2023
2024010516532,-0.09918,51.57927,3,2024
2024010550205,0.1838,51.58046,2,2024
2022010366598,-0.365128,51.480043,3,2022
2024010505296,-0.11795,51.55441,3,2024
2023010451622,-0.173352,51.490341,3,2023
2024010497784,-0.26249,51.38518,2,2024
2022010400797,-0.119724,51.49452,3,2022
2022010356022,-0.002338,51.454396,3,2022
2023010484458,-0.021015,51.458859,2,2023
2022010374251,-0.149393,51.357261,3,2022
2024010489686,-0.22826,51.37726,3,2024
2022010397811,-0.047559,51.515849,3,2022
2023010463022,-0.061528,51.511036,2,2023
2024010534333,-0.06937,51.51062,3,2024
2022010409469,-0.171232,51.447189,2,2022
2023010426362,-0.164312,51.521008,3,2023
2023010427578,-0.137492,51.508868,3,2023
2023010469772,-0.134127,51.491765,2,2023
2023351356003,0.144637,52.218593,2,2023
2022302200057,-1.365779,53.306628,3,2022
2023302300227,-1.387262,53.047676,3,2023
2023302300482,-1.271237,52.899821,3,2023
2024302401055,-1.90819,53.26008,2,2024
2024302401707,-1.31835,53.23344,2,2024
2024302401694,-1.33613,53.10063,2,2024
2022501248633,-3.508014,50.708395,3,2022
2024471410027,0.32568,50.79365,2,2024
2023421333867,0.595571,51.518954,3,2023
2023531262467,-2.219788,51.857773,2,2023
2023440082159,-1.380724,50.984892,3,2023
2023440255110,-1.20122,50.801074,3,2023
2022411199786,0.158503,51.873059,3,2022
2024411414069,-0.01267,51.75769,3,2024
2023461396197,0.732291,51.34206,3,2023
2023041370384,-2.681079,53.695563,3,2023
2022361153099,0.946404,52.677347,3,2022
2024311403078,-1.10382,52.9317,1,2024
2023211440845,-1.623245,52.792622,2,2023
2022371257793,1.147837,52.0599,2,2022
2024471411622,-0.18833,51.11652,3,2024
2024471483564,-0.53055,50.8228,2,2024
2024471528529,-0.27287,50.92719,2,2024
2023991299449,-4.384596,55.872325,2,2023
2023991350783,-2.461384,56.706954,2,2023
2022991156843,-4.268084,55.896026,3,2022
2024991514327,-3.99666,55.84384,1,2024
2023622300777,-4.064121,51.651228,3,2023
202417S107924,-1.35929,54.58204,3,2024
2024522500209,-2.53006,51.45719,2,2024
2024522402521,-2.76537,51.48646,3,2024
2022522200622,-2.546734,51.53446,3,2022
2023501331962,-4.133243,50.372355,3,2023
2023421357573,0.717123,51.545574,3,2023
2024461417444,0.55277,51.37343,3,2024
2022430436100,-1.002048,51.446845,2,2022
2024430045806,-0.60428,51.50657,3,2024
2022430535814,-0.752094,52.046177,3,2022
2024501494138,-4.83188,50.59211,3,2024
2023552300297,-1.861216,50.722395,3,2023
2022552200446,-2.276211,51.037668,3,2022
2023430036053,-0.822987,51.81504,3,2023
2024340WN0082,-0.84667,52.2427,2,2024
2023031278506,-3.58951,54.541376,3,2023
2024031434554,-3.58463,54.54397,3,2024
2023031372864,-2.921026,54.395009,2,2023
2023122300490,-1.536956,53.995556,3,2023
2022351245240,0.146928,52.197204,3,2022
2022351221562,0.110024,52.264212,2,2022
2024302400337,-1.99267,53.3655,3,2024
2024302401746,-1.95611,53.45852,2,2024
2022471171149,0.285674,50.767663,2,2022
2023421261269,0.555227,51.554834,3,2023
2023421384082,0.850125,51.889583,3,2023
2022421184776,0.072938,51.656396,3,2022
2023421268978,1.054538,51.9473,2,2023
2024531515655,-2.06883,51.90963,3,2024
2024531460369,-2.14062,51.75479,3,2024
2023041335801,-2.310864,53.801179,3,2023
2024430580119,-1.14725,51.69089,3,2024
2024371503197,0.95467,52.04263,2,2024
2024371437186,1.19904,52.04342,3,2024
2024471434441,-0.39555,50.80973,2,2024
2024061473729,-2.3955,53.58898,2,2024
2022061164854,-2.241808,53.462212,3,2022
2024061438466,-2.26341,53.36601,3,2024
2023061389166,-2.002843,53.534311,2,2023
2022061204516,-2.113139,53.497414,3,2022
2023061386038,-2.651166,53.509867,3,2023
2022052201148,-2.788448,53.41981,3,2022
2022052203314,-2.960069,53.445501,3,2022
2024052402522,-2.86888,53.39738,3,2024
2022052200818,-2.969774,53.647858,3,2022
2022141164709,-1.413219,53.395131,3,2022
2022141182128,-1.38055,53.361303,3,2022
2024141419803,-1.48578,53.38117,3,2024
2024141557583,-1.41289,53.3864,3,2024
2023101340871,-1.671735,54.979416,3,2023
2024101492603,-1.44789,55.00859,3,2024
2023201304444,-1.892505,52.50818,3,2023
2023201321818,-1.947446,52.40885,3,2023
2024201485881,-1.87587,52.46242,3,2024
2022201151425,-1.530358,52.399794,3,2022
2022201178453,-2.079198,52.567993,2,2022
2023201416181,-2.108751,52.592449,3,2023
2024131468576,-1.79364,53.78672,3,2024
2024131501607,-1.71723,53.80114,3,2024
2022131168231,-1.641415,53.719445,2,2022
