AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement
3 BERKELEY STREET,,LONDON,,1 Hotel Mayfair,Restaurant/Cafe/Canteen,1,0,0.5523779232423337,1688813,GL6QH0-M4M5Q6-S02TKX,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 8DJ,2026-01-21T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1422003,51.5076479,5.0,0.0,5.0
1-4 LEICESTER SQUARE,,LONDON,,1 Leicester Square Rooftop Bar and Restaurant,Restaurant/Cafe/Canteen,1,0,0.24989751240073899,1898862,HQ202C-1TV3G5-ZN9YQ3,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2H 7NA,2026-01-09T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1306709,51.510837,5.0,5.0,0.0
1 WARWICK STREET,,LONDON,,1 Warwick,Restaurant/Cafe/Canteen,1,0,0.2557916351140168,1559410,22/00661/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5LR,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1372907,51.5107175,0.0,0.0,0.0
BASEMENT CENTURY HOUSE 100-102 OXFORD STREET,,LONDON,,100 Club,Restaurant/Cafe/Canteen,1,0,0.1760760514409326,427714,00159/0100/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 1LL,2024-05-07T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1353078,51.5162165,0.0,5.0,0.0
,111-113 Hampstead Road,,London,113 KTV & KOREAN KITCHEN,Restaurant/Cafe/Canteen,1,0,0.9981463368838683,1784230,205231,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 3EE,2025-06-24T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1389819,51.5279114,5.0,5.0,5.0
12 HAY HILL,,LONDON,,12 Hay Hill,Restaurant/Cafe/Canteen,1,0,0.5314256452229226,1317137,18/00075/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1J 8NR,2025-10-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1437663,51.5090884,0.0,5.0,0.0
180 STRAND,,LONDON,,180 Pizza,Restaurant/Cafe/Canteen,1,0,0.8189272926404264,1411839,01576/0180/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,WC2R 1EA,2022-06-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1150843,51.5124221,0.0,0.0,5.0
8-10 WIGMORE STREET,,LONDON,,2 Veneti,Restaurant/Cafe/Canteen,1,0,0.5864720158376979,411269,00283/0008/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1U 2RD,2026-05-22T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.146726,51.5168561,5.0,5.0,5.0
20 AIR STREET,,LONDON,,20 Air cafe,Other catering premises,7841,0,0.2399218509552533,1791323,HRL6LV-Z132RA-P1K6LN,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1B 5AN,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.136698,51.5107621,0.0,0.0,0.0
3-5 SUTTON ROW,,LONDON,,21 Soho,Restaurant/Cafe/Canteen,1,0,0.17110043057256846,1361455,21/00242/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,W1D 4NR,2024-09-27T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1313476,51.5156476,5.0,0.0,0.0
,250 Euston Road,,London,250 Euston Road - Medirest,Restaurant/Cafe/Canteen,1,0,0.8373803212152484,1850328,206367,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 2PG,2025-11-06T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1373839,51.5257368,5.0,5.0,5.0
,1 Neal's Yard,,London,26 Grains,Restaurant/Cafe/Canteen,1,0,0.33382314291457493,779024,83750,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,WC2H 9DP,2026-07-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1262892,51.5143642,5.0,5.0,5.0
