BusinessName,AddressLine1,AddressLine2
20 Air cafe,20 AIR STREET,
6th Floor The Terrace Kitchen,55 BAKER STREET,
7th floor cafe,30 BERNERS STREET,
86 St James Limited,86 ST JAMES'S STREET,
Age UK Camden,Greatcroft Centre,Cromer Street
Angel Hill Food Company,39 VICTORIA STREET,
Aramark Limited,4-12 LITTLE TITCHFIELD STREET,
B-Flexion Restaurant,1 BERKELEY STREET,
Bain Capital,DEVONSHIRE HOUSE MAYFAIR PLACE,
Baringa - Thomas Franks,SIXTH FLOOR PART AND SEVENTH FLOOR 62 BUCKINGHAM GATE,
Bartlett Mitchell Ltd,NORFOLK HOUSE 31 ST JAMES'S SQUARE,
Bartlett Mitchell ltd,20 MANCHESTER SQUARE,
Bartlett Mitchell ltd @ CapVest,THIRD FLOOR 100 PALL MALL,
Bartlett Mitchell ltd C/O Landsec,100 VICTORIA STREET,
Baxter Storey Limited,SEVENTH FLOOR 80 STRAND,
BaxterStorey - NatWest Drummonds,49 CHARING CROSS,
Bennett Hay - Club House,1 KEMBLE STREET,
Benugo,CLIVE HOUSE 70-78 PETTY FRANCE,
Berry Bros & Rudd Limited,3 ST JAMES'S STREET,
Bloomsbury Baptist Church,,235 Shaftesbury Avenue
Bloomsbury House,,2-3 Bloomsbury Square
Blue Apple Catering,FIFTH FLOOR 80 STRAND,
Bull and Bear Cafe,18 HANOVER SQUARE,
Cafe 15,15 STANHOPE GATE,
Camden Chinese Community Centr,,9 Tavistock Place
Company of Cooks @ The Royal Aeronautical Society,4 HAMILTON PLACE,
Company of Cooks by Compass Group UK @ Royal Institute of British  Architects @,ROYAL INSTITUTE OF BRITISH ARCHITECTS 66 PORTLAND PLACE,
Company of Cooks Ltd @ Guinness,28-32 SHELTON STREET,
Compass Contract Services,21 ST JAMES'S SQUARE,
Connections At St Martins,12 ADELAIDE STREET,
Cookery School,15B LITTLE PORTLAND STREET,
Crown Estates,SEVENTH FLOOR 1 ST JAMES'S MARKET,
Cushman and Wakefield Portman Square,43-45 PORTMAN SQUARE,
Driftwoods - MV Riverscape,Woods Quay,Victoria Embankment
Etc Venues - 4th Floor,County Hall Riverside Building,Belvedere Road
Etc Venues Marble Arch,GARFIELD HOUSE 86-88 EDGWARE ROAD,
Evercore Partners Limited,15 STANHOPE GATE,
Fika - Bridgepoint,5 MARBLE ARCH,
Fooditude,BROCK HOUSE 19 LANGHAM STREET,
Fooditude,SECOND FLOOR 30 BROADWICK STREET,
Fooditude,FOURTH FLOOR 20 RATHBONE PLACE,
Fooditude,KNIGHTWAY HOUSE 20 SOHO SQUARE,
Gather & Gather Limited,NUTFORD HOUSE BROWN STREET,
Graysons Restaurant,THE LAW SOCIETY 113 CHANCERY LANE,
Graysons Restaurant,18 HANOVER SQUARE,
Grazing @ Monday.com,1 RATHBONE SQUARE,WESTMINSTER
Grosvenor Casino St Giles,,262 Tottenham Court Road
Institute Of Practitioners In Advertising,44 BELGRAVE SQUARE,
International Students House,229 GREAT PORTLAND STREET,
ISS Facilities @ Charlton Gardens,1 CARLTON GARDENS,
John Lewis,JOHN LEWIS 278-306 OXFORD STREET,
Le Montmartre,12 DEVEREUX COURT,
Lexington Catering Ltd,5 HOWICK PLACE,
London Welsh Centre Trust,,157-163 Gray's Inn Road
Maison Gigi,ZIG ZAG BUILDING 70 VICTORIA STREET,
Mamapen,21 GREAT PULTENEY STREET,
Marchmont Community Centre,,62 Marchmont Street
Mayfair Catering Services Limited,22 DUCHESS MEWS,
Mayfair Catering Services Ltd,44 HALLAM STREET,
Mediclean Ltd @ London Caxton House,CAXTON HOUSE TOTHILL STREET,
MV Avontuur,Westminster Pier,Victoria Embankment
MV Cockney Sparrow,Cockney Sparrow Barge Moored On The Thames Outside The Houses of Parliament,Westminster Pier
MV Golden Flame,Temple Pier,Victoria Embankment
MV Golden Jubilee,Golden Jubilee,Passenger Vessel Moored On The Thames At Temple Pier
MV Golden Sunrise,Temple Pier,Victoria Embankment
MV Hollywood,Kingwood Launches Ltd,Westminster Pier
MV London Rose,Westminster Pier,Victoria Embankment
MV Mercedes,Westminster Party Boats Ltd,Westminster Pier
MV Mercia,Westminster Party Boats Ltd,Westminster Pier
MV Mercuria,Westminster Party Boats Ltd,Westminster Pier
MV Pearl Of London,Festival Pier South Bank,Belvedere Road
MV Silver Barracuda,Woods Quay,Victoria Embankment
MV Viscount,St Thomas Moorings King Reach Westminster,London
Odeon Cinema,,30 Tottenham Court Road
Odeon Ltd,,135-149 Shaftesbury Avenue
One Peloton Studio,11 FLORAL STREET,
Princess Grace Hospital,THE PRINCESS GRACE HOSPITAL 42-52 NOTTINGHAM PLACE,
Queen Elizabeth ll Conference Centre,QUEEN ELIZABETH II CONFERENCE CENTRE BROAD SANCTUARY,
Ra Group@Bain Capital,50 BERKELEY STREET,
Restaurant Associates,CABINET WAR ROOMS HORSE GUARDS ROAD,
Restaurant Associates @ Bain,DEVONSHIRE HOUSE 1 MAYFAIR PLACE,
Restaurant Associates @ BDO,55 BAKER STREET,
Restaurant Associates @ HSBC Cork Street,7-8 CORK STREET,
Restaurant Associates @ HSBC LWC,FIFTH FLOOR SMITHSON TOWER 25 ST JAMES'S STREET,
Rhubarb Hospitality Collection,LOWER GROUND FLOOR TO SECOND FLOOR 40 BERKELEY SQUARE,
Rocket at Duolingo,141 WARDOUR STREET,
Royal Academy Of Engineering,PRINCE PHILIP HOUSE 3-4 CARLTON HOUSE TERRACE,
Royal Society Of Chemistry Events,GROUND RIGHT BURLINGTON HOUSE PICCADILLY,
Savore @ Bain & Company,FIFTH FLOOR TO SEVENTH FLOOR 40 STRAND,
Searcys,CHURCH HOUSE GREAT SMITH STREET,
Searcys @ The British Academy,10 CARLTON HOUSE TERRACE,
Seven Dials Playhouse Ltd,,1a Tower Street
Shell Centre - Canteen & Cafe,20 York Road,London
Silver Darling,Woods Quay,Victoria Embankment
Spectrum,25 GLOUCESTER PLACE,
Stonehage Fleming,6 APPLE TREE YARD,
The Central Synagogue,36-40 HALLAM STREET,
The Dickens House Museum,Dickens House Museum,48 Doughty Street
The Future Plate,SOMERSET HOUSE STRAND,
The Riverside Group,STAFFORD HOUSE COSWAY STREET,
The Soho Kitchen,1 SOHO PLACE,WESTMINSTER
UCH At Westmorland Street,GROUND FLOOR 16-18 WESTMORELAND STREET,
Vacherin,GROUND FLOOR SOUTH 23 SAVILE ROW,
Vacherin @ BP St James Square,1 ST JAMES'S SQUARE,
Vacherin by Compass Group UK,HENRIETTA HOUSE 8 HENRIETTA PLACE,
Vacherin Limited,70-72 GROSVENOR STREET,
Vacherin Limited,FOURTH FLOOR 7 SAVOY COURT,
Vacherin Limited,24 PORTLAND PLACE,
Vacherin Limited,25 KNIGHTSBRIDGE,
Vacherin Limited @ Delancey,8 MORTIMER STREET,
Vacherin Limited @ Estee Lauder,6 MORTIMER STREET,
Vacherin Limited@ Gerald Eve,6 MORTIMER STREET,
Victoria House Coffee & Food,,5 Coptic Street
W1M,16 BABMAES STREET,
Westminster Chapel,WESTMINSTER CHAPEL BUCKINGHAM GATE,
WeWork Barista Station,Ground Floor,10 York Road
Woods Quay,Victoria Embankment,London
3i,16 PALACE STREET,
Beaver's Brew,44 LINCOLN'S INN FIELDS,
Bengali Workers Association,Surma Community Centre,1 Robert Street
Eat Tokyo,27 CATHERINE STREET,
Fine Taste Catering Services Ltd,,72-73 Warren Street
Gather & Gather Limited @ Tik Tok,180 STRAND,
London Eye,Booking Office London Eye,County Hall Riverside Building
LSE - Beveridge Cafe,CONCESSION 1 13 HOUGHTON STREET,
Millman Street Community Centre,,50 Millman Street
MV Silver Sturgeon,Woods Quay,Victoria Embankment
Restaurant Associates @ Global Radio,29-30 LEICESTER SQUARE,
Salvation Army,EDWARD ALSOP COURT 18 GREAT PETER STREET,
School Of Wok,GROUND FLOOR 61 CHANDOS PLACE,
Seven Dials Club Ltd,,42 Earlham Street
Silver Sockeye,Woods Quay,Victoria Embankment
Swans Bar / Maison Assouline,196A PICCADILLY,
The Clubhouse St James,ENSEARCH HOUSE 8 ST JAMES'S SQUARE,
The Salvation Army No.10 Princes St Centre,10 PRINCES STREET,
Vacherin,30 WARWICK STREET,
HALA EAT,GROUND FLOOR 4 STRUTTON GROUND,
NETTREND SUSHI/TIANBIAN Braised Chicken/Tang Xiao Chuan Tanghulu,18-21 LISLE STREET,
Samuel Lithgow Youth Centre,,69-75 Stanhope Street
Wallacespace,,22 Duke's Road
Graysons Hospitality @ The Royal Society,6-9 CARLTON HOUSE TERRACE,
Cally Munchy,ROOM S93 SECOND FLOOR NEW WING SOMERSET HOUSE STRAND,
Hospitality on Seven,FOURTH FLOOR NORTH WEST 80 VICTORIA STREET,
The Hideaway,307-309 REGENT STREET,
Vacherin @ Pinterest,THIRD FLOOR 2 GREAT TITCHFIELD STREET,
Burberry Marshall Street,16 MARSHALL STREET,
Companions of the Order of Malta,SPANISH PLACE RECTORY 22 GEORGE STREET,
King George'S Hostel (Shp),75 GREAT PETER STREET,
Noel Coward Theatre,NOEL COWARD THEATRE 85-89 ST MARTIN'S LANE,
Radha Krishna Temple (Deity Kitchen),10 SOHO STREET,
St Vincent de Paul Society (St James?s Spanish Place) Marylebone,SPANISH PLACE RECTORY 22 GEORGE STREET,
