BusinessName,AddressLine1,BusinessType
BAD BOY PIZZA SOCIETY LTD,SEven Dials Market,Restaurant/Cafe/Canteen
BAXTERSTOREY/CONTEMPORAY DANCE TRUST LTD,,Restaurant/Cafe/Canteen
Cellar Society,170 NEW BOND STREET,Restaurant/Cafe/Canteen
Coffee House,ROYAL SOCIETY OF ARTS 8 JOHN ADAM STREET,Restaurant/Cafe/Canteen
Company of Cooks @ The Royal Aeronautical Society,4 HAMILTON PLACE,Other catering premises
Company of Cooks Ltd @Royal Society Of Arts,ROYAL SOCIETY OF ARTS 8 JOHN ADAM STREET,Restaurant/Cafe/Canteen
Conway Hall Ethical Society,Conway Hall,Restaurant/Cafe/Canteen
Graysons Restaurant,THE LAW SOCIETY 113 CHANCERY LANE,Other catering premises
London Welsh Centre Trust,,Other catering premises
Mr Fogg's Society Of Exploration,1A BEDFORD STREET,Restaurant/Cafe/Canteen
Royal Society Of Chemistry Events,GROUND RIGHT BURLINGTON HOUSE PICCADILLY,Other catering premises
Royal Society Of Medicine,ROYAL SOCIETY OF MEDICINE 1 WIMPOLE STREET,Restaurant/Cafe/Canteen
SOFT SERVE SOCIETY,CA8 Seven Dials Market,Restaurant/Cafe/Canteen
Soft Serve Society,20-21 LEICESTER SQUARE,Restaurant/Cafe/Canteen
The Honourable  Society of Lincoln’s Inn,Lincoln's Inn,Restaurant/Cafe/Canteen
The Wellcome Trust Ltd,,Restaurant/Cafe/Canteen
Graysons Hospitality @ The Royal Society,6-9 CARLTON HOUSE TERRACE,Other catering premises
THE ROCK TRUST,55 Albany Street,Restaurant/Cafe/Canteen
St Vincent de Paul Society (St James?s Spanish Place) Marylebone,SPANISH PLACE RECTORY 22 GEORGE STREET,Other catering premises
