BusinessName,AddressLine1,AddressLine2,BusinessType
ALTA Restaurant,UNIT G9 KINGLY COURT KINGLY COURT,,Restaurant/Cafe/Canteen
AMORINO,UNIT K2 GROUND FLOOR,Brunswick Centre,Takeaway/sandwich shop
Atis Southbank,Unit 3A,11 Casson Square,Restaurant/Cafe/Canteen
Automat,BASEMENT AND GROUND FLOOR REAR 127 MOUNT STREET,,Restaurant/Cafe/Canteen
Bagel Factory,UNIT 1 OXFORD CIRCUS STATION 237 OXFORD STREET,,Takeaway/sandwich shop
Bagel Factory,UNIT A BAKER STREET STATION MARYLEBONE ROAD,,Restaurant/Cafe/Canteen
BARNABY BARS,UNIT 2-4 UPPER ST MARTIN?S LANE COVENT GARDEN,,Takeaway/sandwich shop
Bella Italia,UNIT 5 65-72 STRAND,,Restaurant/Cafe/Canteen
Birley's Sandwiches,Unit 2,2 Milner Place,Restaurant/Cafe/Canteen
BLACK SHEEP COFFEE,Unit 1 One Smarts Place,182-184 High Holborn,Takeaway/sandwich shop
Blank Street,UNIT 2 65-72 STRAND,,Restaurant/Cafe/Canteen
Bread & Co.,UNIT C12 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
BUBBLE CITEA,UNIT G7 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Takeaway/sandwich shop
Burger King Barrier Line,Unit 21-22 Euston Station,Eversholt Street,Takeaway/sandwich shop
Caffe Nero,UNIT 1 65-72 STRAND,,Restaurant/Cafe/Canteen
Caffe Nero,Unit 12 Euston Railway Station,Eversholt Street,Takeaway/sandwich shop
Camden Food Company,Unit 19 Euston Station,Eversholt Street,Takeaway/sandwich shop
Comptoir Libanais,Unit 12 To 13,Royal Festival Hall,Restaurant/Cafe/Canteen
Crussh,UNIT 4 YORK HOUSE 45 SEYMOUR STREET,,Restaurant/Cafe/Canteen
Donia Restaurant,UNIT 2.1 KINGLY COURT KINGLY STREET,,Restaurant/Cafe/Canteen
FIFTYFIVE COFFEE HOUSE,GROUND FLOOR REAR NORTH BLOCK 55 BAKER STREET,,Restaurant/Cafe/Canteen
Fika - Bridgepoint,5 MARBLE ARCH,,Other catering premises
Frameless,6 MARBLE ARCH,,Restaurant/Cafe/Canteen
Garbanzos Falafel & Salad Bar,Unit 6 The Qube,101-106 Tottenham Court Road,Restaurant/Cafe/Canteen
GERMAN DONER KEBAB,UNIT 1,1 Southampton Row,Restaurant/Cafe/Canteen
Greens and Beans,Unit 2,19 Museum Street,Restaurant/Cafe/Canteen
Greggs PLC,Unit 2  101/106,Tottenham Court Road,Takeaway/sandwich shop
Hey Tea Baker?s Street,UNIT 61 GROUND FLOOR 55 BAKER STREET,,Takeaway/sandwich shop
Honest Burger,Unit 9,Royal Festival Hall,Restaurant/Cafe/Canteen
HOP Vietnamese,UNIT G12 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
Imads Syrian Kitchen,SECOND FLOOR UNIT 14 KINGLY COURT KINGLY COURT,,Restaurant/Cafe/Canteen
itsu,UNIT C12 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
Joe & The Juice,UNIT G14 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Restaurant/Cafe/Canteen
K-Eats,UNIT C12 WEST ONE SHOPPING CENTRE 381 OXFORD STREET,,Takeaway/sandwich shop
Kapara,UNIT 2 ILONA ROSE HOUSE MANETTE STREET,,Restaurant/Cafe/Canteen
Kova Patisserie,UNIT 5 9-12 ST ANNE'S COURT,,Restaurant/Cafe/Canteen
La Gamba,Unit 3,Royal Festival Hall,Restaurant/Cafe/Canteen
Las Iguanas,Unit 14,Royal Festival Hall,Restaurant/Cafe/Canteen
Leon,Unit 52  Mezzanine Floor Euston Railway Station,Eversholt Street,Restaurant/Cafe/Canteen
Nando's,Unit 5 Euston Railway Station,Eversholt Street,Restaurant/Cafe/Canteen
Nandos,Unit 5 The Piazza Euston Railway Station,Eversholt Street,Restaurant/Cafe/Canteen
Nero Express,UNIT 13 CHARING CROSS STATION STRAND,,Restaurant/Cafe/Canteen
Noble Rot Winebar & Restuarnt,Restaurant And Premises At Basement Ground And 1st Floor Rear,51 Lamb's Conduit Street,Restaurant/Cafe/Canteen
NONNA ITALIAN ARTISAN BAKERY,Unit 1,75 High Holborn,Restaurant/Cafe/Canteen
