street,mean_congestion_index,n_samples
Serpentine Road,0.9546215928125475,2587
Waterloo Bridge,0.8952074441549803,36082
Brick Street,0.8939140125793559,8564
The Broadwalk,0.8649774731778092,4762
Westminster Bridge,0.7307800562927222,5803
Piccadilly Circus,0.7228939782190903,12488
Carlisle Street,0.660763478945297,1309
Montagu Mews South,0.6449883449883449,60
Birdcage Walk,0.6419237118683102,2166
Dyott Street,0.6404183810780737,4684
Constitution Hill,0.5820299310384296,1765
Westminster Bridge Road,0.5588322136202122,16698
Piccadilly,0.547996327874654,39573
Peter Street,0.5038428712756975,3089
Gordon Street,0.49973103017071446,2661
Wilton Row,0.49853372434017595,31
Bruton Place,0.4726705904839741,1061
Goslett Yard,0.47230986383261375,3011
Speakers' Corner,0.46902356902356906,396
Richmond Terrace,0.4690077980710035,2215
Horse Guards Road,0.46398628099659023,1746
Hanway Street,0.45447095569294177,5176
Half Moon Street,0.43769405401796146,2723
Montreal Place,0.4365671641791044,201
Edwards Mews,0.4346529284164859,461
Grape Street,0.4298245614035087,152
Barlow Place,0.42963500377949043,1841
Holles Street,0.42545317929933313,4095
Ashland Place,0.42510402219140087,309
Cleveland Row,0.41849732188715233,2065
Marlborough Road,0.4151986842116292,2781
Queens Gardens,0.41234190753053523,5487
The Mall,0.4116888125808699,13396
Euston Circus,0.40417516229581196,1724
Bedford Place,0.40046665338116116,1158
Apsley Way,0.39782244556113905,1592
Stable Yard Road,0.39647774263158875,3367
Gresse Street,0.39602777981921067,1237
Eastcastle Street,0.38541666666666663,4224
Berners Street,0.37884318290613167,4178
North Gower Street,0.3780512549071501,1145
Museum Street,0.3772953339763684,3016
Rathbone Place,0.3764174514703056,1419
North Carriage Drive,0.3704950741987779,81
Strand Underpass,0.3683206106870229,393
Bruton Street,0.365549049340088,4175
Burlington Gardens,0.36137361906029547,683
Whitehall Place,0.3613709246392304,3742
South Carriage Drive,0.3611213659437009,985
Pall Mall East,0.3583367305340399,669
Wells Square,0.35686274509803917,85
Litchfield Street,0.3566486543759271,2145
Spur Road,0.3542742861449559,2165
Earlham Street,0.3535169498209581,1921
Albert Gate,0.35002568053415506,59
Seven Dials,0.3496128648004765,1679
Bruton Lane,0.34903239936796976,1788
Oxford Street,0.3472289720064668,80897
Harpur Street,0.34561569550314625,1777
New Bond Street,0.3423672733082657,9599
Gower Place,0.3422698445271809,443
Mercer Street,0.33774996932891665,2318
Wardour Street,0.33764385786444606,15096
Vigo Street,0.33515999608572267,929
Great Chapel Street,0.33333333333333337,131
White Bear Yard,0.3333333333333333,2
Back Hill,0.3333333333333333,2
Webber Street,0.3333333333333333,1
Windmill Walk,0.3333333333333333,6
York Bridge,0.3321510220548682,1352
Colonnade,0.3303109492133882,738
Great George Street,0.3282018972055131,2489
Compton Place,0.3242669611090664,380
Cardington Street,0.32416142557651995,106
Shaftesbury Avenue,0.32341906221733957,65481
Welbeck Way,0.31878990574642746,598
Hollen Street,0.31567833929294886,1588
New Oxford Street,0.31550401395930444,27578
New North Street,0.3149293848209173,1429
Outer Circle,0.31463971778857275,3144
Denman Street,0.3143636363636363,1000
Clifford Street,0.31417112299465244,2380
Bloomsbury Way,0.3114320585842148,7374
Whitehall,0.31033639623757836,15058
Bow Street,0.310285748810339,4514
York Gate,0.3086173305757875,1685
Euston Road,0.307966594267445,11873
Derby Gate,0.3077145350757182,1927
Phoenix Street,0.30442351765881176,1547
Perry's Place,0.30420753742901396,1937
Vernon Place,0.30235961221876717,1491
Charing Cross Road,0.30090620487336617,43942
Langley Street,0.30082802351709914,833
Angela Hooper Place,0.3007246376811594,138
Old Brewer's Yard,0.30012610340479196,671
Rotten Row,0.29914529914529914,156
Drake Street,0.2983977151708781,1565
Savile Row,0.29797671394971736,4445
Greek Street,0.2962607178498448,1913
Little St. James's Street,0.29610038135071964,739
Lancaster Place,0.29475393340651296,1822
Hanway Place,0.29411764705882354,255
Broadwick Street,0.29359243376710625,3435
Bury Place,0.2935664553311612,2142
Belvedere Road,0.2928560470698648,1679
Shelton Street,0.2918648792160406,5123
Booth's Place,0.29079254079254074,312
Great Ormond Street,0.2899534211371667,2264
Hanover Square,0.2890329295583743,2417
Bulstrode Street,0.28712591756070016,1288
Mill Street,0.2847627619904847,1515
Great Newport Street,0.28459025281059175,1593
Macclesfield Street,0.2842066079117872,2259
Conduit Street,0.28213209534975126,9775
Old Bond Street,0.28191714972430365,643
Noel Street,0.28183624885752545,3290
Soho Street,0.2817340067340067,2655
Queen's Walk,0.28125,8
Gilbert Place,0.2808959156785244,115
Vere Street,0.2807158980973879,886
Stafford Street,0.27967861334296285,1007
Millman Street,0.2779012779012779,1998
Soho Square,0.27770586478143977,1826
Whidborne Street,0.2767295597484277,53
Tower Street,0.2752307558342041,696
Streatham Street,0.27470150494269513,1082
Park Crescent,0.27413355260213895,4966
Crown Office Row,0.273972602739726,73
Herbrand Street,0.2733111753869876,3324
Fitzroy Street,0.27305746831014827,1306
Bedford Avenue,0.2696273593090687,2176
Duncannon Street,0.2690850815850816,990
Arne Street,0.2690793513201141,839
Duke Street,0.26891518164600553,4224
Hay Hill,0.2680862680862681,333
Allsop Place,0.2676362519931465,863
Bloomsbury Square,0.2675615967199133,3493
Old Burlington Street,0.2669198123743578,407
Sutton Row,0.26635980053701575,395
Headfort Place,0.2658562367864693,344
Charles Street,0.26471261735745366,397
Malet Street,0.26450809464508096,3285
Long Acre,0.26436409119335946,2132
Glasshouse Street,0.2636292166952544,1590
Berwick Street,0.2635192978113332,2486
Dean Street,0.26308967712129766,3795
Wellington Street,0.26200337949225183,4044
Byng Place,0.26166257984439806,1155
Avery Row,0.2611608201838867,737
Flitcroft Street,0.2598665702113977,116
Russell Court,0.2595307917888563,124
Willoughby Street,0.2594086021505376,64
Poland Street,0.2592042384788499,1737
Endell Street,0.259166204062663,4058
Brook Street,0.25900978804204605,3441
Wells Street,0.25839815264948957,1870
Horse and Dolphin Yard,0.2582588176850472,122
Lamb's Conduit Street,0.2580514000767165,3950
Keppel Street,0.2577685950413223,550
Dombey Street,0.25770693952512136,462
Craig's Court,0.2574857414448669,1052
Cab Road,0.25595238095238093,84
Ampton Street,0.2558844619029805,486
Millman Mews,0.25577812018489987,295
Theobalds Road,0.25529199996721635,22184
Torrington Square,0.2541493176035161,524
Moxon Street,0.2541028950765259,493
Tottenham Court Road,0.2539221230518257,38303
St. Giles Passage,0.2536310557807373,942
St Giles Square,0.2532434365103688,251
Canon Row,0.25321380243572394,739
Brewer Street,0.25224942644106685,2536
Stratford Place,0.25221427929143064,1011
Chitty Street,0.2521825773391535,479
Russell Square,0.2515388651752288,9438
Brook's Mews,0.25027056277056275,672
Morton Place,0.25,2
Chester Place,0.25,10
Essex Court,0.25,41
Royal Festival Hall loading bay,0.25,3
Hop Gardens,0.25,6
Fountain Court,0.25,20
Old Barrack Yard,0.25,8
Queen Anne Mews,0.25,7
Harley Place,0.25,8
King's Bench Walk,0.25,19
Lyall Mews,0.25,57
Book Mews,0.25,2
Green Yard,0.25,2
Baker's Mews,0.2496434937611408,255
Denmark Street,0.24949919871794873,128
Great Central Street,0.24925727866904335,34
Old Compton Street,0.2492311182267514,2519
