rider_id,origin_node,elapsed_s,time_budget_s,overdue,distance_m,pavement_time_s,red_light_violations,pavement_conflicts,pavement_risk_exposure,severe_conflicts
293,25472136,25.0,124.80660948715742,False,72.2816397690917,0.0,0,0,0.0,0
41,26845543,30.0,125.12182985251394,False,74.26752807083773,0.0,0,0,0.0,0
273,1666324108,50.0,135.4548401380278,False,139.36549286957512,0.0,0,0,0.0,0
90,25495441,90.0,155.7685187882991,False,267.3416683662843,0.0,1,0,0.0,0
148,25472291,105.0,165.80420735403442,False,330.56650633041676,0.0,0,0,0.0,0
251,107319,120.0,173.1552261060304,False,376.87792446799125,0.0,1,0,0.0,0
180,107800,140.0,183.9024109000471,False,444.5851886702967,10.0,0,2,1.38133462336483,0
2,383974165,145.0,188.86873509241417,False,475.8730310822091,10.0,2,0,0.5474470367060121,0
242,25498869,155.0,185.92005907843728,False,457.29637219415457,20.0,2,0,0.1840583609275054,0
87,435144778,165.0,195.63347264262865,False,518.4908776485606,40.0,1,0,0.6897202797202795,0
16,21665912,180.0,197.73786851141296,False,531.7485716219013,40.0,3,8,11.288108433795983,0
88,5393414955,180.0,204.1881173948037,False,572.3851395872633,35.0,2,7,10.734294090730904,4
184,1493458889,185.0,209.6256032224689,False,606.6413003015539,35.0,2,5,3.7089991598439616,0
120,311422338,205.0,222.27976863910357,False,686.3625424263525,45.0,2,3,2.1755979482976846,0
143,25533613,205.0,210.03819775371306,False,609.240645848392,55.0,1,8,7.198797972374886,0
97,1316072261,210.0,225.3571855628581,False,705.7502690460059,50.0,8,0,1.4760067982784697,0
279,25473293,225.0,226.2760387726876,False,711.5390442679316,65.0,1,5,5.06855646785626,0
194,9046520718,230.0,231.14018532106223,False,742.1831675226922,65.0,0,6,6.464644689166576,0
222,21563009,235.0,243.58558091269316,False,820.5891597499669,60.0,3,4,2.226214408769505,0
130,9371260474,245.0,240.61198431157462,False,801.8555011629201,75.0,2,2,2.3393951934760238,0
118,9791487,245.0,215.76449031504688,True,645.3162889847949,95.0,3,7,7.241708751068156,0
203,21651908,245.0,248.07880310857482,False,848.896459584021,70.0,4,7,5.163507014606162,0
65,13808848004,250.0,237.88094421668086,True,784.6499485650893,80.0,2,13,11.558311511199744,0
43,25375812,260.0,250.70929688875776,True,865.4685703991739,80.0,2,11,16.22204528448823,3
212,25502834,265.0,258.2432691094306,True,912.9325953894125,80.0,2,8,10.35558050262188,7
6,1614926320,270.0,254.34807084810154,True,888.3928463430393,90.0,3,7,7.465040046718192,0
75,101995,280.0,271.6989600234171,True,997.7034481475278,85.0,5,0,1.2149528801897205,0
101,1619500438,285.0,275.3960597152414,True,1020.9951762060206,90.0,4,3,2.451529502413586,0
8,21665000,285.0,262.76371757949556,True,941.4114207508215,100.0,2,0,2.749153199606585,0
182,3733175891,290.0,267.47515967824336,True,971.0935059729331,100.0,5,5,3.9176364376175146,0
107,108267,295.0,277.9239917450036,True,1036.9211479935225,100.0,5,5,7.0934098678982105,0
73,21544863,295.0,273.8263947064821,True,1011.1062866508373,100.0,5,6,7.973130361719576,0
60,1667203491,305.0,278.94366258610006,True,1043.3450742924304,105.0,3,7,4.170800513394853,0
172,107830,305.0,286.56430651296137,True,1091.3551310316557,100.0,5,3,2.6769950275732968,0
247,2440630566,315.0,288.7836529207586,True,1105.3370134007791,110.0,3,1,1.8295066312997343,0
163,26699545,320.0,272.6981037013997,True,1003.9980533188182,125.0,3,21,24.094509106134126,0
232,21533909,320.0,295.61675008803905,True,1148.3855255546466,110.0,5,2,1.1521805571897206,0
239,21533913,325.0,287.86798672305946,True,1099.5683163552746,120.0,3,3,1.4644215423990432,0
51,9791489,325.0,272.60276140498706,True,1003.3973968514181,130.0,4,6,6.359051413694389,0
103,366518767,330.0,297.28810541427555,True,1158.915064109936,120.0,6,8,10.412516115387639,0
121,108258,335.0,290.7986319303196,True,1118.031381161013,140.0,3,4,7.291484367515503,0
32,6313625295,335.0,272.76054834377936,True,1004.391454565809,195.0,3,16,16.931951343255285,0
187,9791489,335.0,298.33012672223947,True,1165.479798350109,125.0,4,10,10.593582828018501,0
177,12159581182,340.0,313.48265083532993,True,1260.9407002625785,120.0,2,5,4.886884364910377,0
127,25473291,340.0,273.334787522836,True,1008.0091613938669,165.0,1,13,8.868155262746805,0
293,452589682,315.0,293.39336963061044,True,1134.3782286728456,105.0,1,6,5.0722531727241575,0
59,25532843,350.0,303.1748998247252,True,1196.0018688957682,135.0,3,4,4.468251783019058,0
227,26699537,355.0,302.28109384928763,True,1190.370891250512,140.0,6,8,7.2341540878507455,0
150,2441107350,365.0,308.0602856053946,True,1226.7797993139857,145.0,5,6,5.023543022346546,0
17,21665031,365.0,265.61477466896616,True,959.3730804144865,200.0,2,35,37.86567203462605,5
188,12959447,370.0,322.25380032654374,True,1316.1989420572256,140.0,4,5,3.7077001677802452,0
278,107352,375.0,327.86790849078534,True,1351.567823491948,145.0,2,4,5.873792126171603,0
