dose,seed,trigger_rate_pct
0,42,6.0256
0,1,6.7602
0,7,6.1856
0,99,6.4408
0,123,6.1438
1,42,5.62
1,1,5.8576
1,7,5.8543
1,99,5.5329
1,123,5.508
3,42,6.1569
3,1,5.9617
3,7,5.2917
3,99,5.7243
3,123,5.7035
5,42,6.1569
5,1,5.9617
5,7,5.2917
5,99,5.7243
5,123,5.7035
8,42,4.3361
8,1,4.474
8,7,4.0611
8,99,4.7853
8,123,4.5373
12,42,3.4758
12,1,3.4741
12,7,3.6574
12,99,3.4738
12,123,4.0501
15,42,3.1433
15,1,3.2129
15,7,3.0186
15,99,2.9262
15,123,3.043
20,42,2.0685
20,1,2.5709
20,7,2.6188
20,99,1.6186
20,123,2.2285
25,42,1.3645
25,1,1.2922
25,7,1.1447
25,99,1.2073
25,123,1.5928
30,42,0.6822
30,1,0.7198
30,7,0.7759
30,99,0.5682
30,123,0.7242
36,42,0.1928
36,1,0.2388
36,7,0.2058
36,99,0.1649
36,123,0.1667
50,42,0.1928
50,1,0.2388
50,7,0.2058
50,99,0.1649
50,123,0.1667
